Reaction ID,EC#,Uncertainty,dG0,Reagents,Products
R01130,1.1.1.205,4.0,19.0,"['C00130 ', ' C00003 ', ' C00001 ']","[' C00655 ', ' C00004 ', ' C00080']"
R00330,2.7.4.6,1.3,-2.8,"['C00002 ', ' C00035 ']","[' C00008 ', ' C00044']"
R00430,2.7.1.40,1.4,-29.6,"['C00035 ', ' C00074 ']","[' C00044 ', ' C00022']"
R00332,2.7.4.8,1.2,-0.3,"['C00002 ', ' C00144 ']","[' C00008 ', ' C00035']"
R01230,6.3.5.2,70000.0,0.0,"['C00002 ', ' C00655 ', ' C00014 ']","[' C00020 ', ' C00013 ', ' C00144']"
R01231,6.3.5.2,70000.0,0.0,"['C00002 ', ' C00655 ', ' C00064 ', ' C00001 ']","[' C00020 ', ' C00013 ', ' C00144 ', ' C00025']"
R01163,1.1.1.23,1.9,-32.1,"['C01929 ', ' C00001 ', ' C00003 ']","[' C00135 ', ' C00004 ', ' C00080']"
R03013,3.1.3.15,2.2,-36.2,"['C01100 ', ' C00001 ']","[' C00860 ', ' C00009']"
R03457,4.2.1.19,1.9,-41.2,['C04666 '],"[' C01267 ', ' C00001']"
R04640,5.3.1.16,1.3,-9.8,['C04896 '],[' C04916']
R03012,1.1.1.23,1.0,20.1,"['C00860 ', ' C00003 ']","[' C01929 ', ' C00004 ', ' C00080']"
R03243,2.6.1.9,2.9,8.4,"['C01267 ', ' C00025 ']","[' C01100 ', ' C00026']"
R01071,2.4.2.17,100000.0,0.0,"['C00002 ', ' C00119 ']","[' C02739 ', ' C00013']"
R04035,3.6.1.31,100000.0,0.0,"['C02739 ', ' C00001 ']","[' C02741 ', ' C00013']"
R04037,3.5.4.19,100000.0,0.0,"['C02741 ', ' C00001 ']",[' C04896']
R04558,4.3.2.10,60000.0,0.0,"['C04916 ', ' C00064 ']","[' C04666 ', ' C04677 ', ' C00025']"
R01072,2.4.2.14,2.7,-78.4,"['C00064 ', ' C00119 ', ' C00001 ']","[' C03090 ', ' C00013 ', ' C00025']"
R04591,6.3.2.6,5.0,-73.0,"['C00002 ', ' C04751 ', ' C00049 ']","[' C00008 ', ' C00009 ', ' C04823']"
R07404,6.3.4.18,6.0,-59.0,"['C00002 ', ' C03373 ', ' C00288 ']","[' C00008 ', ' C00009 ', ' C15667']"
R04144,6.3.4.13,2.3,-26.5,"['C00002 ', ' C03090 ', ' C00037 ']","[' C00008 ', ' C00009 ', ' C03838']"
R01127,3.5.4.10,5.0,-20.0,['C04734 '],"[' C00130 ', ' C00001']"
R04209,4.1.1.21,4.0,12.0,"['C03373 ', ' C00011 ']",[' C04751']
R04325,2.1.2.2,6.0,1.0,"['C00234 ', ' C03838 ']","[' C00101 ', ' C04376']"
R04559,4.3.2.2,2.9,5.9,['C04823 '],"[' C00122 ', ' C04677']"
R06975,6.3.4.23,3.5,5.0,"['C00058 ', ' C00002 ', ' C04677 ']","[' C00008 ', ' C00009 ', ' C04734']"
R07405,5.4.99.18,6.0,31.0,['C15667 '],[' C04751']
R04560,2.1.2.3,2.9,7.6,"['C00234 ', ' C04677 ']","[' C00101 ', ' C04734']"
R04463,6.3.5.3,50000.0,0.0,"['C00002 ', ' C04376 ', ' C00064 ', ' C00001 ']","[' C00008 ', ' C00009 ', ' C04640 ', ' C00025']"
R04208,6.3.3.1,50000.0,0.0,"['C00002 ', ' C04640 ']","[' C00008 ', ' C00009 ', ' C03373']"
R07399,2.3.1.182,2.6,-44.1,"['C00024 ', ' C00022 ', ' C00001 ']","[' C02612 ', ' C00010']"
R00996,4.3.1.19,4.0,-42.0,['C00188 '],"[' C00109 ', ' C00014']"
R05070,4.2.1.9,1.4,-36.9,['C06007 '],"[' C00671 ', ' C00001']"
R00994,1.1.1.85,5.0,-20.0,"['C06032 ', ' C00003 ']","[' C00109 ', ' C00011 ', ' C00004 ', ' C00080']"
R05069,"1.1.1.86,5.4.99.3",0.0,0.00036734476930178,['C06006 '],[' C14463']
R08648,2.2.1.6,5.0,-20.0,"['C00022 ', ' C00109 ']","[' C06006 ', ' C00011']"
R02199,2.6.1.42,3.5,5.9,"['C00671 ', ' C00025 ']","[' C00407 ', ' C00026']"
R03898,4.2.1.35,2.8,8.8,"['C02226 ', ' C00001 ']",[' C06032']
R03896,4.2.1.35,2.4,9.4,['C02612 '],"[' C02226 ', ' C00001']"
R05068,1.1.1.86,1.0,-17.7,"['C14463 ', ' C00005 ', ' C00080 ']","[' C06007 ', ' C00006']"
R01213,2.3.3.13,1.3,-24.4,"['C00024 ', ' C00141 ', ' C00001 ']","[' C02504 ', ' C00010']"
R04426,1.1.1.85,1.0,17.9,"['C04411 ', ' C00003 ']","[' C04236 ', ' C00004 ', ' C00080']"
R01652,1.1.1.85,4.0,-33.0,['C04236 '],"[' C00233 ', ' C00011']"
R03968,4.2.1.33,1.9,0.4,['C02504 '],"[' C02631 ', ' C00001']"
R01090,"2.6.1.6,2.6.1.42,2.6.1.67",1.6,-0.4,"['C00233 ', ' C00025 ']","[' C00123 ', ' C00026']"
